Unnamed: 0,text,label,timestamp,cleaned_text,sentiment
0,oh my gosh,Anxiety,2024-01-01,oh my gosh,Neutral
1,"trouble sleeping, confused mind, restless heart. All out of tune",Anxiety,2024-01-02,trouble sleeping confused mind restless heart all out of tune,Negative
2,"All wrong, back off dear, forward doubt. Stay in a restless and restless place",Anxiety,2024-01-03,all wrong back off dear forward doubt stay in a restless and restless place,Negative
3,I've shifted my focus to something else but I'm still worried,Anxiety,2024-01-04,ive shifted my focus to something else but im still worried,Neutral
4,"I'm restless and restless, it's been a month now, boy. What do you mean?",Anxiety,2024-01-05,im restless and restless its been a month now boy what do you mean,Negative
5,"every break, you must be nervous, like something is wrong, but what the heck",Anxiety,2024-01-06,every break you must be nervous like something is wrong but what the heck,Negative
6,"I feel scared, anxious, what can I do? And may my family or us be protected :)",Anxiety,2024-01-07,i feel scared anxious what can i do and may my family or us be protected ,Negative
7,Have you ever felt nervous but didn't know why?,Anxiety,2024-01-08,have you ever felt nervous but didnt know why,Neutral
8,"I haven't slept well for 2 days, it's like I'm restless. why huh :([].",Anxiety,2024-01-09,i havent slept well for 2 days its like im restless why huh ,Neutral
9,"I'm really worried, I want to cry.",Anxiety,2024-01-10,im really worried i want to cry,Positive
10,"always restless every night, even though I don't know why, what's wrong. strange.",Anxiety,2024-01-11,always restless every night even though i dont know why whats wrong strange,Negative
11,"I'm confused, I'm not feeling good lately. Every time I want to sleep, I always feel restless",Anxiety,2024-01-12,im confused im not feeling good lately every time i want to sleep i always feel restless,Negative
12,"sometimes what is needed when there is a problem is to laugh until you forget that there is a problem, when you remember it, you feel restless like that well, it turns out that I still have a sad burden blah blah blah",Anxiety,2024-01-13,sometimes what is needed when there is a problem is to laugh until you forget that there is a problem when you remember it you feel restless like that well it turns out that i still have a sad burden blah blah blah,Negative
13,Because this worry is you.,Anxiety,2024-01-14,because this worry is you,Neutral
14,Sometimes it's your own thoughts that make you anxious and afraid to close your eyes until you don't sleep,Anxiety,2024-01-15,sometimes its your own thoughts that make you anxious and afraid to close your eyes until you dont sleep,Negative
15,"Every time I wake up, I'm definitely nervous and excited, until when are you going to try ™‚",Anxiety,2024-01-16,every time i wake up im definitely nervous and excited until when are you going to try ,Positive
16,"I can only hope, even though I'm worried if it starts like this....",Anxiety,2024-01-17,i can only hope even though im worried if it starts like this,Neutral
17,"restive = restless, restless",Anxiety,2024-01-18,restive  restless restless,Neutral
18,"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",Anxiety,2024-01-19,no regrets or grudgesangry at things that have passed and not worrying too much about the future thats true serenity,Positive
19,"If the guy is sick, the girl actually feels sick indirectly. He must be feeling restless and restless. :')",Anxiety,2024-01-20,if the guy is sick the girl actually feels sick indirectly he must be feeling restless and restless ,Negative
20,"I've been the most anxious person before I became the most sincere person, I've also been the most worried person before it all ended",Anxiety,2024-01-21,ive been the most anxious person before i became the most sincere person ive also been the most worried person before it all ended,Positive
21,Successfully online at 9am. Even sleeping in a state of restlessness what is wrong with me,Anxiety,2024-01-22,successfully online at 9am even sleeping in a state of restlessness what is wrong with me,Positive
22,Can't sleep. Just restless by nature,Anxiety,2024-01-23,cant sleep just restless by nature,Neutral
23,Already worried about picking up the phone,Anxiety,2024-01-24,already worried about picking up the phone,Neutral
24,a little restless. a little restless. always feel guilty. sorry if i can't be the best as i've been :',Anxiety,2024-01-25,a little restless a little restless always feel guilty sorry if i cant be the best as ive been ,Negative
25,I've been so restless since this morning,Anxiety,2024-01-26,ive been so restless since this morning,Neutral
26,it makes you feel restless,Anxiety,2024-01-27,it makes you feel restless,Neutral
27,Sleepy but restless when you sleep,Anxiety,2024-01-28,sleepy but restless when you sleep,Neutral
28,Why is this cave... I'm already in a bad mood and then my heart seems to be beating really fast... I'm really nervous. Is there something wrong???,Anxiety,2024-01-29,why is this cave im already in a bad mood and then my heart seems to be beating really fast im really nervous is there something wrong,Negative
29,"He is very busy, He is restless, geez, what's going on?",Anxiety,2024-01-30,he is very busy he is restless geez whats going on,Positive
30,"I'm broken and fragile, I'm hurt, I can't stand the anxiety anymore, I can't stand the love. Until now I was ignored, not seen, even left far away. I'm not like what he wants, so I'll just step back.",Anxiety,2024-01-31,im broken and fragile im hurt i cant stand the anxiety anymore i cant stand the love until now i was ignored not seen even left far away im not like what he wants so ill just step back,Negative
31,"# Suggest a song that makes you calm, don't know why suddenly this feeling of anger / restlessness appears. Thanks!",Anxiety,2024-02-01, suggest a song that makes you calm dont know why suddenly this feeling of anger  restlessness appears thanks,Negative
32,Terooosss nervous huuuu,Anxiety,2024-02-02,terooosss nervous huuuu,Neutral
33,why today's heart doesn't feel good..jealous?.anxious?.disappointed?.feeling failed?,Anxiety,2024-02-03,why todays heart doesnt feel goodjealousanxiousdisappointedfeeling failed,Negative
34,It's a habit from elementary school if I think about something I'll get worried I can't sleep,Anxiety,2024-02-04,its a habit from elementary school if i think about something ill get worried i cant sleep,Negative
35,"Since yesterday yesterday, I have not been in the mood, very sensitive, feeling restless, always surprised and many surprises every day that almost make my brain explode, everyone is the target of ups and downs in mood. But today I feel very grateful that this lecture drama is over.",Anxiety,2024-02-05,since yesterday yesterday i have not been in the mood very sensitive feeling restless always surprised and many surprises every day that almost make my brain explode everyone is the target of ups and downs in mood but today i feel very grateful that this lecture drama is over,Positive
36,"Tonight he continues to chatter about money, I'm so confused what to do. Once he said don't worry about money, but he kept blabbering about money.",Anxiety,2024-02-06,tonight he continues to chatter about money im so confused what to do once he said dont worry about money but he kept blabbering about money,Negative
37,Feeling so restless lately.,Anxiety,2024-02-07,feeling so restless lately,Negative
38,Oh god I'm restless,Anxiety,2024-02-08,oh god im restless,Neutral
39,but my heart is still restless even though my mouth is talking,Anxiety,2024-02-09,but my heart is still restless even though my mouth is talking,Neutral
40,"waiting for uncertainty, please be anxious",Anxiety,2024-02-10,waiting for uncertainty please be anxious,Negative
41,"been the most anxious person, before becoming the most sincere person",Anxiety,2024-02-11,been the most anxious person before becoming the most sincere person,Positive
42,"Did you ever read it when you read it to RL, I mean the atmosphere, the taste. It's because I'm like this. when I read au, the topic was about mental illness ™ my days became restless....and now I'm scared.",Anxiety,2024-02-12,did you ever read it when you read it to rl i mean the atmosphere the taste its because im like this when i read au the topic was about mental illness  my days became restlessand now im scared,Negative
43,"Hi, I want to tell you... Lately I've been feeling restless, have trouble sleeping, I searched on google it says it's a mild symptom of depression, I used to tell my mom a psychologist friend ""don't think too much, it's not important you get depressed easily"" then I frequent irregular breathing.",Anxiety,2024-02-13,hi i want to tell you lately ive been feeling restless have trouble sleeping i searched on google it says its a mild symptom of depression i used to tell my mom a psychologist friend dont think too much its not important you get depressed easily then i frequent irregular breathing,Positive
44,"I've been feeling restless for the past few days, now I'm nauseous, like someone...",Anxiety,2024-02-14,ive been feeling restless for the past few days now im nauseous like someone,Negative
45,"Oh no I'm restless. The time will come. I walk with Jesus. Then my heart is calm.. Every time I sing a song I don't know, tomorrow in this section I always want to cry . Because I sing it but I don't do it . Sorry God I worry too much ️",Anxiety,2024-02-15,oh no im restless the time will come i walk with jesus then my heart is calm every time i sing a song i dont know tomorrow in this section i always want to cry  because i sing it but i dont do it  sorry god i worry too much ,Positive
46,Controlling anxiety is not as easy as it sounds.,Anxiety,2024-02-16,controlling anxiety is not as easy as it sounds,Positive
47,"Since the pandemic, I haven't opened my laptop for a day, I feel restless, I have a very heavy life load",Anxiety,2024-02-17,since the pandemic i havent opened my laptop for a day i feel restless i have a very heavy life load,Negative
48,People who are restless and afraid can be seen from the frequent touching of the face and ringing the fingers.,Anxiety,2024-02-18,people who are restless and afraid can be seen from the frequent touching of the face and ringing the fingers,Neutral
49,"I don't know if my mind breaks down, but I don't want to think about it :( , why do I feel restless?",Anxiety,2024-02-19,i dont know if my mind breaks down but i dont want to think about it   why do i feel restless,Negative
50,Sensitive feelings make the heart restless.,Anxiety,2024-02-20,sensitive feelings make the heart restless,Positive
51,"Let's not be nervous, how about ™‚",Anxiety,2024-02-21,lets not be nervous how about ,Neutral
52,"after being confessed, I'm really nervous",Anxiety,2024-02-22,after being confessed im really nervous,Positive
53,Restless.. and.. restless..,Anxiety,2024-02-23,restless and restless,Neutral
54,"This is the first time I've had an anxiety disorder in my sleep, and it wasn't really good. Even though I'm not thinking about anything, but I'm restless",Anxiety,2024-02-24,this is the first time ive had an anxiety disorder in my sleep and it wasnt really good even though im not thinking about anything but im restless,Positive
55,It's been a week I feel restless and my head feels full I want to rest while I sleep,Anxiety,2024-02-25,its been a week i feel restless and my head feels full i want to rest while i sleep,Positive
56,why am i nervous,Anxiety,2024-02-26,why am i nervous,Neutral
57,"Anxious, all afraid, afraid of war, afraid of economic crisis, afraid of air pollution, disease outbreaks, clean water, etc. When are you happy?",Anxiety,2024-02-27,anxious all afraid afraid of war afraid of economic crisis afraid of air pollution disease outbreaks clean water etc when are you happy,Negative
58,oh my god why are you so nervous,Anxiety,2024-02-28,oh my god why are you so nervous,Neutral
59,feelings of restlessness have started to appear ±,Anxiety,2024-02-29,feelings of restlessness have started to appear ,Neutral
60,Very restless bgsd,Anxiety,2024-03-01,very restless bgsd,Positive
61,"The days are full of restlessness, with income that doesn't know the direction..Hopefully we can always get what we need and be given the advantage for a desire...5 - 5 - 21",Anxiety,2024-03-02,the days are full of restlessness with income that doesnt know the directionhopefully we can always get what we need and be given the advantage for a desire5  5  21,Positive
62,1 hour wake up 1 hour wake up ngde the restless is here kle cak after polishing dwg,Anxiety,2024-03-03,1 hour wake up 1 hour wake up ngde the restless is here kle cak after polishing dwg,Neutral
63,"Lately everything has been all of a sudden, suddenly happy, suddenly sad, suddenly anxious, suddenly relaxed, suddenly excited, suddenly lethargic, etc. I really don't like everything that is impromptu, yes, but what can I do? Ha ha ha",Anxiety,2024-03-04,lately everything has been all of a sudden suddenly happy suddenly sad suddenly anxious suddenly relaxed suddenly excited suddenly lethargic etc i really dont like everything that is impromptu yes but what can i do ha ha ha,Positive
64,"I'm so sorry, but can you give me words of encouragement or not? I'm really worried that I can't make my kids happy.",Anxiety,2024-03-05,im so sorry but can you give me words of encouragement or not im really worried that i cant make my kids happy,Positive
65,"I don't like worrying, I don't like wehhh!",Anxiety,2024-03-06,i dont like worrying i dont like wehhh,Neutral
66,"Behind your online, there is a heart that is anxiously waiting to hear from you",Anxiety,2024-03-07,behind your online there is a heart that is anxiously waiting to hear from you,Negative
67,nervous restless peramoy,Anxiety,2024-03-08,nervous restless peramoy,Neutral
68,I'm nervous I don't know why. I don't feel calm,Anxiety,2024-03-09,im nervous i dont know why i dont feel calm,Positive
69,"Sometimes I can't even rest. Always worried, worried about this, even though I'm tired",Anxiety,2024-03-10,sometimes i cant even rest always worried worried about this even though im tired,Negative
70,It feels uneasy.,Anxiety,2024-03-11,it feels uneasy,Neutral
71,"I'm so restless, I don't know why",Anxiety,2024-03-12,im so restless i dont know why,Neutral
72,"Day by day, that hope grows, the closer I feel, the more I expect from you, and sometimes I get anxious because of it. To the point that I became worried, worried that it would disturb my hopes. Especially disturbing km.",Anxiety,2024-03-13,day by day that hope grows the closer i feel the more i expect from you and sometimes i get anxious because of it to the point that i became worried worried that it would disturb my hopes especially disturbing km,Negative
73,"Urmi has a fever, I'm already sad and restless.. What's more, this little girl has a fever, ha ha ha",Anxiety,2024-03-14,urmi has a fever im already sad and restless whats more this little girl has a fever ha ha ha,Negative
74,"How many days have you been feeling restless at night and in the afternoon your mind is empty, why?",Anxiety,2024-03-15,how many days have you been feeling restless at night and in the afternoon your mind is empty why,Positive
75,"From now on, it's not really good, being restless is tired by nature",Anxiety,2024-03-16,from now on its not really good being restless is tired by nature,Negative
76,"I haven't slept yet, and now my head hurts so bad. I'm sleepy, but I can't sleep, I've tried to brake but I'm restless ",Anxiety,2024-03-17,i havent slept yet and now my head hurts so bad im sleepy but i cant sleep ive tried to brake but im restless ,Negative
77,Too anxious. Too worried. Too scared,Anxiety,2024-03-18,too anxious too worried too scared,Negative
78,Restless and agitated.,Anxiety,2024-03-19,restless and agitated,Neutral
79,There will always be calm in the midst of restlessness,Anxiety,2024-03-20,there will always be calm in the midst of restlessness,Positive
80,"dismayed = disappointed, anxious",Anxiety,2024-03-21,dismayed  disappointed anxious,Negative
81,This is why my heart is beating so fast. Very restless. But I don't know what I'm worried about. It's a great feeling.....,Anxiety,2024-03-22,this is why my heart is beating so fast very restless but i dont know what im worried about its a great feeling,Positive
82,"More restless. Hopefully those who are there are okay.... Oh Allah protect him..... Amen, robbal alamin",Anxiety,2024-03-23,more restless hopefully those who are there are okay oh allah protect him amen robbal alamin,Positive
83,"If my friends have replied to my tweet that has an opinion, I'm worried",Anxiety,2024-03-24,if my friends have replied to my tweet that has an opinion im worried,Neutral
84,"I'm hungry, weak, lethargic, restless.",Anxiety,2024-03-25,im hungry weak lethargic restless,Negative
85,Sudden restlessness. Why are you..,Anxiety,2024-03-26,sudden restlessness why are you,Neutral
86,"Sleeps 3 hours, rest restless. Try a variety of positions and ways never fall asleep. I really need to be able to control this mind.",Anxiety,2024-03-27,sleeps 3 hours rest restless try a variety of positions and ways never fall asleep i really need to be able to control this mind,Positive
87,"STOP I'M GAMAU ANXIETY, GUNDAH GULANA AGAIN",Anxiety,2024-03-28,stop im gamau anxiety gundah gulana again,Neutral
88,Anxious,Anxiety,2024-03-29,anxious,Negative
89,It's so restless work,Anxiety,2024-03-30,its so restless work,Neutral
90,"Is there anyone who, when sick, can't sleep well, but sleeps restlessly?",Anxiety,2024-03-31,is there anyone who when sick cant sleep well but sleeps restlessly,Negative
91,Please worry until you want to cry,Anxiety,2024-04-01,please worry until you want to cry,Neutral
92,"Exam on Saturday. Saturday's Starting Presentation..On Going: CT.Place CSE Dept. .Assignments….AND UNTIL NOW CLEAR CATIA TRAINING 2 PRODUCTS HAHAHAHA.. awesome, still in sleep mode, but I'm nervous, haha",Anxiety,2024-04-02,exam on saturday saturdays starting presentationon going ctplace cse dept assignmentsand until now clear catia training 2 products hahahaha awesome still in sleep mode but im nervous haha,Positive
93,"I'm nervous, when you come change anxiety and become anxious, I'm more worried. Tomorrow I will try to live without news from you again, quickly go away from my insincerity.",Anxiety,2024-04-03,im nervous when you come change anxiety and become anxious im more worried tomorrow i will try to live without news from you again quickly go away from my insincerity,Positive
94,"How worried am I? *asked my other self. Until it was sent, sustenance had a good friend. Moved",Anxiety,2024-04-04,how worried am i asked my other self until it was sent sustenance had a good friend moved,Positive
95,Restless due to imagining too long and high until lazy to sleep.,Anxiety,2024-04-05,restless due to imagining too long and high until lazy to sleep,Negative
96,"It's like something's up, something's weird, but I don't know what, it feels so restless.",Anxiety,2024-04-06,its like somethings up somethings weird but i dont know what it feels so restless,Negative
97,"""No regrets or grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity.""",Anxiety,2024-04-07,no regrets or grudgesangry at things that have passed and not worrying too much about the future thats true serenity,Positive
98,"For God's sake, I'm so tired of worrying.",Anxiety,2024-04-08,for gods sake im so tired of worrying,Negative
99,"For 3 years comfortable with this condition, anxiously wondering if a few days later everything will change? I don't know, another crisis of confidence",Anxiety,2024-04-09,for 3 years comfortable with this condition anxiously wondering if a few days later everything will change i dont know another crisis of confidence,Negative
100,Feeling a little anxious today.,Anxiety,2024-04-10,feeling a little anxious today,Negative
101,"Not regretting or holding grudges/angry at things that have passed, and not worrying too much about the future, that's true serenity",Anxiety,2024-04-11,not regretting or holding grudgesangry at things that have passed and not worrying too much about the future thats true serenity,Positive
102,"Please be anxious , it must continue like this.",Anxiety,2024-04-12,please be anxious  it must continue like this,Negative
103,"Hmm, I don't know what to do, but I'm nervous",Anxiety,2024-04-13,hmm i dont know what to do but im nervous,Neutral
104,Very restless can't sleep ™,Anxiety,2024-04-14,very restless cant sleep ,Positive
105,"I'm sad because I can't produce anything but I like to complain every day because I'm tired of taking care of children I see the body is getting bigger, yes I am getting more and more restless",Anxiety,2024-04-15,im sad because i cant produce anything but i like to complain every day because im tired of taking care of children i see the body is getting bigger yes i am getting more and more restless,Positive
106,"Every time after sunset, why must this heart be restless as if it can't accept the situation. But with this situation, you can't do anything, if you do it, it can only make things worse",Anxiety,2024-04-16,every time after sunset why must this heart be restless as if it cant accept the situation but with this situation you cant do anything if you do it it can only make things worse,Negative
107,Why are you restless and restless yo ”,Anxiety,2024-04-17,why are you restless and restless yo ,Neutral
108,I'm so nervous about what to do,Anxiety,2024-04-18,im so nervous about what to do,Neutral
109,"tbtb restless, tf is wrong with meh?",Anxiety,2024-04-19,tbtb restless tf is wrong with meh,Negative
110,"I swear I can't sleep...sleep anyway, but I don't sleep...so restless..",Anxiety,2024-04-20,i swear i cant sleepsleep anyway but i dont sleepso restless,Neutral
111,"Why does it seem like tonight I'm restless, sad like I want to cry but I don't know what to be sad about",Anxiety,2024-04-21,why does it seem like tonight im restless sad like i want to cry but i dont know what to be sad about,Negative
112,why so nervous? what is certain is not because thr is without tukin. ..but it's all because of you,Anxiety,2024-04-22,why so nervous what is certain is not because thr is without tukin but its all because of you,Positive
113,The script is harmless. But continuing anxiety because the thesis is not finished can be dangerous for the heart.,Anxiety,2024-04-23,the script is harmless but continuing anxiety because the thesis is not finished can be dangerous for the heart,Negative
114,can't you not disturb people's lives? until I'm anxious and can't sleep,Anxiety,2024-04-24,cant you not disturb peoples lives until im anxious and cant sleep,Negative
115,"how do you keep it calm, original tbtb is excited and then you're sweaty or nervous """,Anxiety,2024-04-25,how do you keep it calm original tbtb is excited and then youre sweaty or nervous ,Positive
116,And again suddenly feeling nervous and anxious without knowing why :(.,Anxiety,2024-04-26,and again suddenly feeling nervous and anxious without knowing why ,Negative
117,"I'm not feeling very good this morning, I'm really worried ”",Anxiety,2024-04-27,im not feeling very good this morning im really worried ,Positive
118,"If you are restless & restless, just complain to your RABB and read the Qur'an so that the heart becomes cool and reduce cynicism towards others #bowochallenge #iwartabowochallenge",Anxiety,2024-04-28,if you are restless  restless just complain to your rabb and read the quran so that the heart becomes cool and reduce cynicism towards others bowochallenge iwartabowochallenge,Positive
119,controlling excessive anxiety,Anxiety,2024-04-29,controlling excessive anxiety,Negative
120,"When you hear the song, your heart becomes calm and when you hear the Koran, your heart becomes tense and restless.. it's a sign that your heart is hit by CORONA BLOOD.. you need to think about it.. because life is not a game.",Anxiety,2024-04-30,when you hear the song your heart becomes calm and when you hear the koran your heart becomes tense and restless its a sign that your heart is hit by corona blood you need to think about it because life is not a game,Positive
121,restless restlessness haunts self,Anxiety,2024-05-01,restless restlessness haunts self,Neutral
122,"The peak period of my stress has passed and I am only noisy now. After going out with my friends yesterday, that makes me feel kinda better. At first I was afraid and anxious to go out, yes, because anxiety is still active. But well I hope I'll gain some weight after this storm, bismillaah",Anxiety,2024-05-02,the peak period of my stress has passed and i am only noisy now after going out with my friends yesterday that makes me feel kinda better at first i was afraid and anxious to go out yes because anxiety is still active but well i hope ill gain some weight after this storm bismillaah,Negative
123,I'm most worried when my mom is sick.,Anxiety,2024-05-03,im most worried when my mom is sick,Negative
124,don't worry yet :),Anxiety,2024-05-04,dont worry yet ,Neutral
125,"""Yesterday, I was worried half to death, now my wife is aware of being stiff again... how about that?""",Anxiety,2024-05-05,yesterday i was worried half to death now my wife is aware of being stiff again how about that,Negative
126,The last time I felt this nervous was on Wednesday. When he found out his mother died. I hope this isn't a sign anymore,Anxiety,2024-05-06,the last time i felt this nervous was on wednesday when he found out his mother died i hope this isnt a sign anymore,Neutral
127,I don't know how many years it took me to jump in until I could feel the descent without worrying ²,Anxiety,2024-05-07,i dont know how many years it took me to jump in until i could feel the descent without worrying ²,Positive
